"Berichtshafen";"Wien";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Graz";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Klagenfurt";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Linz";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Innsbruck";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Salzburg";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Verkehrsbeziehung";"ankommend";;;;;;;;;;"abgehend";;;;;;;;;;"Transit ankommend";;;;;;;;;;"ankommend";;;;;;;;;;"abgehend";;;;;;;;;;"Transit ankommend";;;;;;;;;;"ankommend";;;;;;;;;;"abgehend";;;;;;;;;;"Transit ankommend";;;;;;;;;;"ankommend";;;;;;;;;;"abgehend";;;;;;;;;;"Transit ankommend";;;;;;;;;;"ankommend";;;;;;;;;;"abgehend";;;;;;;;;;"Transit ankommend";;;;;;;;;;"ankommend";;;;;;;;;;"abgehend";;;;;;;;;;"Transit ankommend";;;;;;;;;;
"Werte";"Fl�ge";"Fl�ge - Anmerkungen";"Passagiere nach Streckenzielen";"Passagiere nach Streckenzielen - Anmerkungen";"Passagiere nach Endzielen";"Passagiere nach Endzielen - Anmerkungen";"Fracht in kg";"Fracht in kg - Anmerkungen";"Post in kg";"Post in kg - Anmerkungen";"Fl�ge";"Fl�ge - Anmerkungen";"Passagiere nach Streckenzielen";"Passagiere nach Streckenzielen - Anmerkungen";"Passagiere nach Endzielen";"Passagiere nach Endzielen - Anmerkungen";"Fracht in kg";"Fracht in kg - Anmerkungen";"Post in kg";"Post in kg - Anmerkungen";"Fl�ge";"Fl�ge - Anmerkungen";"Passagiere nach Streckenzielen";"Passagiere nach Streckenzielen - Anmerkungen";"Passagiere nach Endzielen";"Passagiere nach Endzielen - Anmerkungen";"Fracht in kg";"Fracht in kg - Anmerkungen";"Post in kg";"Post in kg - Anmerkungen";"Fl�ge";"Fl�ge - Anmerkungen";"Passagiere nach Streckenzielen";"Passagiere nach Streckenzielen - Anmerkungen";"Passagiere nach Endzielen";"Passagiere nach Endzielen - Anmerkungen";"Fracht in kg";"Fracht in kg - Anmerkungen";"Post in kg";"Post in kg - Anmerkungen";"Fl�ge";"Fl�ge - Anmerkungen";"Passagiere nach Streckenzielen";"Passagiere nach Streckenzielen - Anmerkungen";"Passagiere nach Endzielen";"Passagiere nach Endzielen - Anmerkungen";"Fracht in kg";"Fracht in kg - Anmerkungen";"Post in kg";"Post in kg - Anmerkungen";"Fl�ge";"Fl�ge - Anmerkungen";"Passagiere nach Streckenzielen";"Passagiere nach Streckenzielen - Anmerkungen";"Passagiere nach Endzielen";"Passagiere nach Endzielen - Anmerkungen";"Fracht in kg";"Fracht in kg - Anmerkungen";"Post in kg";"Post in kg - Anmerkungen";"Fl�ge";"Fl�ge - Anmerkungen";"Passagiere nach Streckenzielen";"Passagiere nach Streckenzielen - Anmerkungen";"Passagiere nach Endzielen";"Passagiere nach Endzielen - Anmerkungen";"Fracht in kg";"Fracht in kg - Anmerkungen";"Post in kg";"Post in kg - Anmerkungen";"Fl�ge";"Fl�ge - Anmerkungen";"Passagiere nach Streckenzielen";"Passagiere nach Streckenzielen - Anmerkungen";"Passagiere nach Endzielen";"Passagiere nach Endzielen - Anmerkungen";"Fracht in kg";"Fracht in kg - Anmerkungen";"Post in kg";"Post in kg - Anmerkungen";"Fl�ge";"Fl�ge - Anmerkungen";"Passagiere nach Streckenzielen";"Passagiere nach Streckenzielen - Anmerkungen";"Passagiere nach Endzielen";"Passagiere nach Endzielen - Anmerkungen";"Fracht in kg";"Fracht in kg - Anmerkungen";"Post in kg";"Post in kg - Anmerkungen";"Fl�ge";"Fl�ge - Anmerkungen";"Passagiere nach Streckenzielen";"Passagiere nach Streckenzielen - Anmerkungen";"Passagiere nach Endzielen";"Passagiere nach Endzielen - Anmerkungen";"Fracht in kg";"Fracht in kg - Anmerkungen";"Post in kg";"Post in kg - Anmerkungen";"Fl�ge";"Fl�ge - Anmerkungen";"Passagiere nach Streckenzielen";"Passagiere nach Streckenzielen - Anmerkungen";"Passagiere nach Endzielen";"Passagiere nach Endzielen - Anmerkungen";"Fracht in kg";"Fracht in kg - Anmerkungen";"Post in kg";"Post in kg - Anmerkungen";"Fl�ge";"Fl�ge - Anmerkungen";"Passagiere nach Streckenzielen";"Passagiere nach Streckenzielen - Anmerkungen";"Passagiere nach Endzielen";"Passagiere nach Endzielen - Anmerkungen";"Fracht in kg";"Fracht in kg - Anmerkungen";"Post in kg";"Post in kg - Anmerkungen";"Fl�ge";"Fl�ge - Anmerkungen";"Passagiere nach Streckenzielen";"Passagiere nach Streckenzielen - Anmerkungen";"Passagiere nach Endzielen";"Passagiere nach Endzielen - Anmerkungen";"Fracht in kg";"Fracht in kg - Anmerkungen";"Post in kg";"Post in kg - Anmerkungen";"Fl�ge";"Fl�ge - Anmerkungen";"Passagiere nach Streckenzielen";"Passagiere nach Streckenzielen - Anmerkungen";"Passagiere nach Endzielen";"Passagiere nach Endzielen - Anmerkungen";"Fracht in kg";"Fracht in kg - Anmerkungen";"Post in kg";"Post in kg - Anmerkungen";"Fl�ge";"Fl�ge - Anmerkungen";"Passagiere nach Streckenzielen";"Passagiere nach Streckenzielen - Anmerkungen";"Passagiere nach Endzielen";"Passagiere nach Endzielen - Anmerkungen";"Fracht in kg";"Fracht in kg - Anmerkungen";"Post in kg";"Post in kg - Anmerkungen";"Fl�ge";"Fl�ge - Anmerkungen";"Passagiere nach Streckenzielen";"Passagiere nach Streckenzielen - Anmerkungen";"Passagiere nach Endzielen";"Passagiere nach Endzielen - Anmerkungen";"Fracht in kg";"Fracht in kg - Anmerkungen";"Post in kg";"Post in kg - Anmerkungen";"Fl�ge";"Fl�ge - Anmerkungen";"Passagiere nach Streckenzielen";"Passagiere nach Streckenzielen - Anmerkungen";"Passagiere nach Endzielen";"Passagiere nach Endzielen - Anmerkungen";"Fracht in kg";"Fracht in kg - Anmerkungen";"Post in kg";"Post in kg - Anmerkungen";"Fl�ge";"Fl�ge - Anmerkungen";"Passagiere nach Streckenzielen";"Passagiere nach Streckenzielen - Anmerkungen";"Passagiere nach Endzielen";"Passagiere nach Endzielen - Anmerkungen";"Fracht in kg";"Fracht in kg - Anmerkungen";"Post in kg";"Post in kg - Anmerkungen";
"M�r.20";5257;;417687;;-;;9267442;;413679;;5221;;389577;;389577;;5988065;;242310;;-;;1402;;-;;2493134;;8876;;241;;12428;;-;;579;;-;;243;;11164;;11164;;1001;;-;;-;;6;;-;;-;;-;;58;;2600;;-;;-;;-;;59;;2956;;2956;;-;;-;;-;;-;;-;;-;;-;;117;;3692;;-;;191550;;-;;119;;3230;;3230;;348511;;-;;-;;-;;-;;80956;;-;;415;;31847;;-;;-;;-;;423;;45246;;45246;;-;;-;;-;;-;;-;;-;;-;;543;;39466;;-;;5199;;-;;546;;56171;;56171;;5202;;-;;-;;-;;-;;-;;-;;
"Feb.20";9319;;1013895;;-;;7976761;;563876;;9308;;1002546;;1002546;;7087077;;428172;;-;;1020;;-;;1930839;;15961;;492;;30461;;-;;3870;;-;;493;;30380;;30380;;2813;;-;;-;;145;;-;;-;;-;;110;;7222;;-;;-;;-;;110;;7443;;7443;;-;;-;;-;;-;;-;;-;;-;;211;;10766;;-;;183260;;-;;211;;9971;;9971;;464665;;-;;-;;98;;-;;56055;;-;;837;;98817;;-;;-;;-;;837;;97829;;97829;;-;;-;;-;;-;;-;;-;;-;;1073;;130470;;-;;5807;;-;;1072;;128362;;128362;;12892;;-;;-;;20;;-;;-;;-;;
"J�n.20";9743;;1036730;;-;;8585086;;856136;;9764;;1053590;;1053590;;5888958;;625878;;-;;3353;;-;;2337162;;19412;;524;;30589;;-;;3288;;-;;519;;31524;;31524;;3093;;-;;-;;1;;-;;-;;-;;127;;7323;;-;;-;;-;;126;;8138;;8138;;-;;-;;-;;-;;-;;-;;-;;197;;9068;;-;;215490;;-;;195;;9072;;9072;;362129;;-;;-;;46;;-;;126329;;-;;797;;87941;;-;;-;;-;;790;;87770;;87770;;-;;-;;-;;-;;-;;-;;-;;995;;110395;;-;;3874;;-;;995;;111986;;111986;;6115;;-;;-;;-;;-;;-;;-;;
"Dez.19";10339;;1221377;;-;;8554752;;1176808;;10327;;1238659;;1238659;;7848314;;772392;;-;;6779;;-;;2551613;;26107;;488;;31718;;-;;3669;;-;;493;;30803;;30803;;8412;;-;;-;;2;;-;;-;;-;;114;;7399;;-;;-;;-;;115;;6400;;6400;;-;;-;;-;;-;;-;;-;;-;;192;;8942;;-;;197473;;-;;194;;8788;;8788;;332960;;-;;-;;-;;-;;382465;;-;;559;;63088;;-;;-;;-;;560;;48344;;48344;;-;;-;;-;;-;;-;;-;;-;;760;;84869;;-;;4785;;-;;760;;69421;;69421;;6460;;-;;-;;-;;-;;-;;-;;
"Nov.19";10309;;1220495;;-;;10851396;;923467;;10291;;1165334;;1165334;;8153378;;618802;;-;;5379;;-;;3120816;;21621;;563;;40067;;-;;3053;;-;;565;;39435;;39435;;7628;;-;;-;;85;;-;;-;;-;;101;;5761;;-;;-;;-;;101;;5859;;5859;;-;;-;;-;;-;;-;;-;;-;;226;;12670;;-;;223243;;-;;226;;11869;;11869;;436088;;17;;-;;199;;-;;50725;;-;;299;;21461;;-;;-;;-;;299;;20775;;20775;;-;;-;;-;;-;;-;;-;;-;;516;;41783;;-;;6796;;-;;517;;39985;;39985;;4140;;-;;-;;109;;-;;-;;-;;
"Okt.19";11786;;1407398;;-;;10454559;;955215;;11771;;1433942;;1433942;;8738126;;682789;;-;;6717;;-;;2833303;;16603;;658;;45473;;-;;9563;;-;;658;;45376;;45376;;6147;;-;;-;;506;;-;;-;;-;;124;;8325;;-;;-;;-;;125;;8411;;8411;;-;;-;;-;;-;;-;;-;;-;;271;;15387;;-;;257712;;-;;272;;14995;;14995;;440858;;-;;-;;290;;-;;56310;;-;;309;;20874;;-;;-;;-;;310;;21156;;21156;;-;;-;;-;;47;;-;;-;;-;;600;;55649;;-;;3508;;-;;600;;54953;;54953;;7329;;-;;-;;34;;-;;-;;-;;
"Sep.19";12113;;1507344;;-;;9303071;;798294;;12118;;1461982;;1461982;;8723650;;555608;;-;;8085;;-;;2231128;;15706;;702;;55816;;-;;4985;;-;;701;;51951;;51951;;5081;;-;;-;;867;;-;;-;;-;;154;;10362;;-;;-;;-;;153;;10040;;10040;;-;;-;;-;;169;;-;;-;;-;;316;;25023;;-;;217509;;-;;315;;22744;;22744;;436682;;-;;-;;579;;-;;57588;;-;;389;;30640;;-;;-;;-;;390;;29786;;29786;;-;;-;;-;;-;;-;;-;;-;;667;;68240;;-;;3309;;-;;668;;66861;;66861;;6680;;-;;-;;-;;-;;-;;-;;
"Aug.19";12347;;1576999;;-;;9114719;;719501;;12349;;1564461;;1564461;;8182270;;532274;;-;;9550;;-;;2469249;;10962;;650;;49172;;-;;5894;;-;;650;;50058;;50058;;5117;;-;;-;;1147;;-;;-;;-;;156;;10281;;-;;-;;-;;157;;11009;;11009;;-;;-;;-;;153;;-;;-;;-;;324;;26991;;-;;203764;;-;;325;;26472;;26472;;320261;;-;;-;;741;;-;;43440;;-;;385;;31210;;-;;-;;-;;383;;32096;;32096;;-;;-;;-;;-;;-;;-;;-;;732;;74832;;-;;4787;;-;;732;;79050;;79050;;4906;;-;;-;;-;;-;;-;;-;;
"Jul.19";12589;;1546057;;-;;8539753;;539123;;12580;;1599911;;1599911;;8414766;;578673;;-;;15432;;-;;2807796;;47579;;716;;51366;;-;;4196;;-;;718;;55156;;55156;;5527;;-;;-;;941;;-;;-;;-;;161;;10807;;-;;-;;-;;161;;10389;;10389;;-;;-;;-;;84;;-;;-;;-;;359;;27358;;-;;223459;;-;;359;;27631;;27631;;411579;;-;;-;;983;;-;;62511;;-;;416;;33121;;-;;-;;-;;417;;33525;;33525;;-;;-;;-;;7;;-;;-;;-;;714;;72703;;-;;2131;;-;;713;;73389;;73389;;5999;;-;;-;;-;;-;;-;;-;;
"Jun.19";12153;;1469765;;-;;8891946;;517336;;12168;;1498996;;1498996;;7146695;;489484;;-;;16149;;-;;3264118;;60159;;718;;52982;;-;;4838;;-;;716;;52478;;52478;;8101;;-;;-;;1265;;-;;-;;-;;159;;10464;;-;;-;;-;;158;;9505;;9505;;-;;-;;-;;179;;-;;-;;-;;323;;25026;;-;;197641;;-;;322;;25770;;25770;;324118;;-;;-;;2210;;-;;45509;;-;;423;;34266;;-;;-;;-;;426;;33250;;33250;;-;;-;;-;;120;;-;;-;;-;;686;;68831;;-;;4125;;-;;686;;70440;;70440;;3523;;-;;-;;441;;-;;-;;-;;
"Apr.19";11421;;1356330;;-;;9380954;;738531;;11421;;1362308;;1362308;;7358567;;598195;;-;;25495;;-;;4007283;;68906;;595;;41608;;-;;2505;;-;;595;;42575;;42575;;3766;;-;;-;;515;;-;;-;;-;;120;;7418;;-;;-;;-;;121;;7202;;7202;;-;;-;;-;;-;;-;;-;;-;;265;;16304;;-;;210479;;-;;265;;17341;;17341;;380078;;-;;-;;496;;-;;61491;;-;;422;;35600;;-;;-;;-;;421;;42690;;42690;;-;;-;;-;;100;;-;;-;;-;;445;;40189;;-;;2172;;-;;447;;41829;;41829;;468;;-;;-;;-;;-;;-;;-;;
"Mai.19";12188;;1425302;;-;;9343426;;653232;;12189;;1426486;;1426486;;7636327;;554401;;-;;25239;;-;;3116819;;53656;;677;;47542;;-;;2136;;-;;678;;48709;;48709;;5864;;-;;-;;576;;-;;-;;-;;127;;8272;;-;;-;;-;;127;;8279;;8279;;-;;-;;-;;62;;-;;-;;-;;337;;23279;;-;;217527;;-;;337;;24512;;24512;;352915;;-;;-;;799;;-;;59534;;-;;359;;25147;;-;;-;;-;;356;;26685;;26685;;-;;-;;-;;3;;-;;-;;-;;56;;3791;;-;;795;;-;;53;;4699;;4699;;283;;-;;-;;-;;-;;-;;-;;
"M�r.19";10455;;1178714;;-;;10075533;;764344;;10454;;1164769;;1164769;;8235169;;546499;;-;;21776;;-;;3150952;;54854;;594;;37406;;-;;4777;;-;;594;;37738;;37738;;7899;;-;;-;;425;;-;;-;;-;;127;;8906;;-;;-;;-;;126;;9429;;9429;;-;;-;;-;;-;;-;;-;;-;;228;;12260;;-;;233463;;-;;228;;12681;;12681;;376831;;-;;-;;270;;-;;40203;;-;;901;;99860;;-;;-;;-;;901;;107944;;107944;;-;;-;;-;;12;;-;;-;;-;;1086;;111628;;-;;3164;;-;;1088;;128524;;128524;;4723;;-;;-;;-;;-;;-;;-;;
"Feb.19";8634;;933971;;-;;7275296;;646315;;8629;;922435;;922435;;7205366;;467516;;-;;7181;;-;;2064152;;5943;;486;;31301;;-;;5151;;-;;488;;31516;;31516;;7062;;-;;-;;229;;-;;-;;-;;118;;8055;;-;;-;;-;;118;;8294;;8294;;-;;-;;-;;-;;-;;-;;-;;195;;10245;;-;;176660;;-;;195;;10229;;10229;;401270;;-;;-;;519;;-;;38826;;-;;804;;94149;;-;;-;;-;;804;;90758;;90758;;-;;-;;-;;-;;-;;-;;-;;1026;;122172;;-;;5946;;-;;1025;;119802;;119802;;6081;;-;;-;;-;;-;;-;;-;;
"J�n.19";9071;;901486;;-;;8601458;;693862;;9100;;923196;;923196;;6703766;;609031;;-;;6228;;-;;2486100;;7213;;513;;29202;;-;;8088;;-;;505;;30485;;30485;;8003;;-;;-;;434;;-;;-;;-;;138;;8479;;-;;-;;-;;137;;9441;;9441;;-;;-;;-;;-;;-;;-;;-;;210;;10671;;-;;199501;;-;;208;;10821;;10821;;412148;;-;;-;;929;;-;;36366;;-;;787;;84048;;-;;2961;;-;;786;;83779;;83779;;1950;;-;;-;;-;;-;;-;;-;;1025;;111423;;-;;4445;;-;;1024;;112344;;112344;;5503;;-;;-;;-;;-;;200;;-;;
"Dez.18";9850;;1091538;;-;;8730920;;650304;;9821;;1113012;;1113012;;8419478;;755179;;-;;5871;;-;;2070608;;19755;;510;;32607;;-;;3153;;-;;515;;32305;;32305;;7393;;-;;-;;596;;-;;-;;-;;135;;8889;;-;;-;;-;;136;;7667;;7667;;-;;-;;-;;-;;-;;-;;-;;183;;10166;;-;;181338;;-;;185;;9446;;9446;;336113;;1;;-;;805;;-;;29094;;-;;583;;63364;;-;;1834;;-;;584;;48837;;48837;;1682;;-;;-;;-;;-;;-;;-;;803;;86013;;-;;4730;;-;;804;;71732;;71732;;7772;;-;;-;;119;;-;;-;;-;;
"Nov.18";10131;;1122163;;-;;10836106;;554669;;10125;;1063626;;1063626;;8512295;;612061;;-;;6869;;-;;2497251;;26557;;583;;40182;;-;;4561;;-;;586;;39565;;39565;;14234;;-;;-;;658;;-;;-;;-;;146;;7832;;-;;-;;-;;147;;8203;;8203;;-;;-;;-;;-;;-;;-;;-;;222;;12999;;-;;215495;;-;;222;;12500;;12500;;385334;;2;;-;;560;;-;;39598;;-;;312;;21704;;-;;1979;;-;;312;;20673;;20673;;3264;;-;;-;;-;;-;;-;;-;;560;;46283;;-;;6582;;-;;560;;42995;;42995;;8845;;-;;-;;-;;-;;-;;-;;
"Okt.18";11346;;1267718;;-;;11387441;;574741;;11338;;1309182;;1309182;;8847880;;570020;;-;;7041;;-;;1868784;;7043;;651;;46050;;-;;6527;;-;;650;;46228;;46228;;9410;;-;;-;;392;;-;;-;;-;;156;;9098;;-;;-;;-;;156;;9567;;9567;;-;;-;;-;;-;;-;;-;;-;;287;;18279;;-;;202125;;-;;288;;17629;;17629;;428353;;-;;-;;488;;-;;40246;;-;;319;;21994;;-;;1437;;-;;320;;22947;;22947;;4216;;-;;-;;36;;-;;-;;-;;653;;59568;;-;;8424;;-;;653;;60943;;60943;;7293;;-;;-;;57;;-;;-;;-;;
"Aug.18";11360;;1392459;;-;;9593792;;475909;;11365;;1381353;;1381353;;8247402;;524456;;-;;9650;;-;;1568020;;5487;;677;;50354;;-;;4933;;-;;680;;51788;;51788;;5946;;-;;-;;1522;;-;;-;;-;;173;;11307;;-;;-;;-;;173;;12111;;12111;;-;;-;;-;;-;;-;;-;;-;;355;;27541;;-;;195403;;-;;355;;27670;;27670;;415096;;-;;-;;877;;-;;49504;;-;;381;;31099;;-;;1226;;-;;379;;32490;;32490;;5265;;-;;-;;18;;-;;-;;-;;765;;75519;;-;;8736;;-;;765;;80295;;80295;;7142;;-;;-;;875;;-;;-;;-;;
"Sep.18";11214;;1368981;;-;;10610862;;504933;;11214;;1319080;;1319080;;8105798;;536168;;-;;8334;;-;;1826495;;9955;;717;;55462;;-;;4512;;-;;713;;51601;;51601;;57352;;-;;-;;1376;;-;;-;;-;;163;;10484;;-;;-;;-;;163;;10478;;10478;;-;;-;;-;;-;;-;;-;;-;;351;;27506;;-;;311202;;-;;351;;25488;;25488;;544448;;53;;-;;894;;-;;56724;;-;;411;;33354;;-;;896;;-;;413;;31647;;31647;;3632;;-;;-;;85;;-;;-;;-;;719;;70341;;-;;10700;;-;;719;;69394;;69394;;6148;;-;;-;;234;;-;;-;;-;;
"Jul.18";11203;;1331722;;-;;9929270;;513211;;11202;;1388277;;1388277;;9129455;;522874;;-;;10560;;-;;1917255;;3378;;712;;51348;;-;;7845;;-;;713;;55920;;55920;;5217;;-;;-;;1086;;-;;-;;-;;175;;12029;;-;;-;;-;;174;;11807;;11807;;-;;-;;-;;-;;-;;-;;-;;370;;27705;;-;;204255;;-;;368;;29080;;29080;;448444;;-;;-;;832;;-;;40209;;-;;420;;33783;;-;;2313;;-;;421;;34056;;34056;;5546;;-;;-;;-;;-;;-;;-;;750;;73553;;-;;6167;;-;;750;;74673;;74673;;6657;;-;;-;;464;;-;;-;;-;;
"Jun.18";10775;;1234652;;-;;10311735;;465077;;10773;;1252305;;1252305;;8428621;;517556;;-;;7856;;-;;1899609;;6630;;739;;51846;;-;;7258;;-;;737;;52096;;52096;;8707;;-;;-;;1596;;-;;-;;-;;153;;10205;;-;;-;;-;;154;;9732;;9732;;-;;-;;-;;-;;-;;-;;-;;361;;26332;;-;;210516;;-;;363;;27042;;27042;;407185;;-;;-;;1262;;-;;33774;;-;;430;;33504;;-;;3039;;-;;429;;32293;;32293;;6036;;-;;-;;69;;-;;-;;-;;704;;68041;;-;;7978;;-;;704;;66608;;66608;;10065;;-;;-;;796;;-;;7191;;791;;
"Mai.18";10524;;1149595;;-;;9534328;;545506;;10526;;1157825;;1157825;;7616939;;543504;;-;;5854;;-;;2435460;;16653;;676;;43575;;-;;3641;;-;;676;;45441;;45441;;9016;;-;;-;;595;;-;;-;;-;;153;;9801;;-;;-;;-;;152;;9366;;9366;;-;;-;;-;;-;;-;;-;;-;;317;;20442;;-;;189255;;-;;316;;22011;;22011;;435272;;-;;-;;809;;-;;44349;;-;;349;;23091;;-;;1105;;-;;350;;24105;;24105;;4138;;-;;-;;139;;-;;-;;-;;687;;60164;;-;;4776;;-;;689;;61752;;61752;;9451;;-;;-;;638;;-;;-;;-;;
"Apr.18";9779;;1086145;;-;;9757565;;624518;;9786;;1074180;;1074180;;8235150;;606875;;-;;7292;;-;;1847980;;11477;;587;;39557;;-;;2941;;-;;586;;41240;;41240;;7706;;-;;-;;503;;-;;-;;-;;146;;8705;;-;;-;;-;;146;;9657;;9657;;-;;-;;-;;-;;-;;-;;-;;274;;17725;;-;;209730;;77;;273;;18478;;18478;;453857;;-;;-;;227;;-;;38977;;-;;421;;31635;;-;;1623;;-;;423;;41782;;41782;;4075;;-;;-;;35;;-;;-;;-;;655;;53450;;-;;10104;;-;;653;;61186;;61186;;9372;;-;;-;;112;;-;;-;;-;;
"M�r.18";9016;;946913;;-;;9972369;;617823;;9016;;952628;;952628;;8943706;;629675;;-;;9074;;-;;1867995;;22261;;587;;38049;;-;;5346;;-;;590;;37869;;37869;;13407;;-;;-;;212;;-;;-;;-;;132;;9282;;-;;-;;-;;132;;9223;;9223;;-;;-;;-;;50;;-;;-;;-;;276;;15507;;-;;326452;;-;;277;;15990;;15990;;441270;;-;;-;;76;;-;;45564;;-;;840;;96340;;-;;1569;;-;;837;;100359;;100359;;4932;;-;;-;;35;;-;;-;;-;;1022;;107130;;-;;4117;;-;;1021;;118871;;118871;;11842;;-;;-;;15;;-;;-;;-;;
"Feb.18";7439;;742972;;-;;7908243;;509324;;7443;;732625;;732625;;7090794;;510018;;-;;7763;;-;;1405030;;12911;;499;;30363;;-;;7700;;-;;500;;30446;;30446;;9331;;-;;-;;265;;-;;-;;-;;116;;7872;;-;;-;;-;;116;;7974;;7974;;-;;-;;-;;-;;-;;-;;-;;228;;12313;;-;;195069;;68;;230;;12072;;12072;;412961;;-;;-;;615;;-;;64274;;-;;763;;89073;;-;;1754;;-;;764;;86469;;86469;;4922;;-;;-;;-;;-;;-;;-;;951;;110679;;-;;3150;;-;;953;;109917;;109917;;8932;;-;;-;;31;;-;;-;;-;;
"J�n.18";7867;;720745;;-;;8726162;;643270;;7891;;742996;;742996;;7044609;;683298;;-;;8461;;-;;1286439;;40357;;506;;28227;;-;;11933;;-;;498;;29419;;29419;;8196;;-;;-;;590;;-;;-;;-;;135;;8198;;-;;-;;-;;134;;8835;;8835;;-;;-;;-;;-;;-;;-;;-;;233;;11157;;-;;195853;;-;;229;;11344;;11344;;356951;;-;;-;;719;;-;;110393;;-;;783;;82688;;-;;1949;;-;;779;;81643;;81643;;4764;;-;;-;;-;;-;;-;;-;;959;;105056;;-;;7792;;-;;958;;106964;;106964;;7865;;-;;-;;-;;-;;-;;-;;
"Dez.17";8259;;868206;;-;;9373471;;676649;;8231;;880042;;880042;;8100149;;813236;;-;;9363;;-;;1258180;;30281;;473;;30352;;-;;3778;;-;;478;;30187;;30187;;6965;;-;;-;;1037;;-;;-;;-;;143;;8239;;-;;-;;-;;144;;7339;;7339;;-;;-;;-;;-;;-;;-;;-;;213;;11309;;-;;195794;;-;;216;;10737;;10737;;359233;;-;;-;;1405;;-;;98177;;-;;472;;49247;;-;;1711;;-;;474;;38362;;38362;;5602;;-;;-;;-;;-;;-;;-;;736;;85228;;-;;11638;;-;;737;;67550;;67550;;11919;;-;;-;;55;;-;;-;;-;;
"Nov.17";8749;;895409;;-;;10198986;;595283;;8758;;861938;;861938;;8374042;;671221;;-;;8232;;-;;1566191;;27561;;584;;37435;;-;;4782;;-;;585;;37672;;37672;;7339;;-;;-;;367;;-;;-;;-;;152;;6823;;-;;-;;-;;153;;7024;;7024;;-;;-;;-;;6;;-;;-;;-;;253;;14542;;-;;219545;;-;;253;;14237;;14237;;409009;;-;;-;;605;;-;;61703;;-;;295;;18462;;-;;2251;;-;;295;;17962;;17962;;4616;;-;;-;;-;;-;;-;;-;;483;;42535;;-;;6119;;-;;483;;40001;;40001;;9881;;-;;-;;75;;-;;-;;-;;
"Okt.17";10154;;1074409;;-;;9702991;;390046;;10137;;1101806;;1101806;;8505264;;647584;;-;;9363;;-;;1226141;;12614;;613;;41687;;-;;7503;;-;;613;;41705;;41705;;7307;;-;;-;;407;;-;;-;;-;;212;;10638;;-;;-;;-;;210;;11254;;11254;;-;;-;;-;;5;;-;;-;;-;;274;;16688;;-;;180440;;-;;271;;16646;;16646;;391484;;-;;-;;530;;-;;70365;;-;;313;;20822;;-;;2604;;-;;315;;20626;;20626;;4708;;-;;-;;410;;-;;-;;-;;724;;58240;;-;;7822;;-;;724;;59030;;59030;;14771;;-;;-;;249;;-;;-;;-;;
"Sep.17";10425;;1233512;;-;;9822409;;612739;;10420;;1185747;;1185747;;8572402;;657883;;-;;10877;;-;;1486056;;33283;;672;;50236;;-;;4362;;-;;673;;45924;;45924;;8761;;-;;-;;1053;;-;;-;;-;;188;;10721;;-;;-;;-;;190;;10714;;10714;;-;;-;;-;;1;;-;;-;;-;;327;;22025;;-;;197402;;-;;330;;20917;;20917;;352501;;-;;-;;970;;-;;429766;;-;;393;;28651;;-;;2212;;-;;392;;28272;;28272;;4554;;-;;-;;649;;-;;-;;-;;785;;73827;;-;;8361;;-;;786;;72007;;72007;;12041;;-;;-;;222;;-;;-;;-;;
"Aug.17";10437;;1246716;;-;;9060755;;531088;;10440;;1234273;;1234273;;8413661;;595072;;-;;6496;;-;;1300032;;23908;;611;;42658;;-;;4978;;-;;608;;43128;;43128;;7222;;-;;-;;1162;;-;;-;;-;;196;;10455;;-;;-;;-;;194;;11170;;11170;;-;;-;;-;;-;;-;;-;;-;;362;;20623;;-;;190428;;68;;362;;20599;;20599;;345584;;77;;-;;2147;;-;;397574;;-;;364;;27643;;-;;2286;;-;;365;;28092;;28092;;5935;;-;;-;;437;;-;;-;;-;;818;;75256;;-;;9384;;-;;818;;79962;;79962;;12783;;-;;-;;467;;-;;-;;-;;
"Jul.17";10569;;1239320;;-;;8658620;;553887;;10568;;1292744;;1292744;;8855393;;574780;;-;;10063;;-;;2040999;;30499;;681;;45272;;-;;5558;;-;;682;;48590;;48590;;6638;;-;;-;;1661;;-;;-;;-;;214;;11129;;-;;-;;-;;217;;10922;;10922;;-;;-;;-;;62;;-;;-;;-;;352;;20443;;-;;169612;;-;;351;;21363;;21363;;364270;;-;;-;;2379;;-;;409869;;-;;420;;31062;;-;;1929;;-;;421;;31101;;31101;;5831;;-;;-;;370;;-;;-;;-;;835;;77632;;-;;6258;;-;;834;;78016;;78016;;12035;;-;;-;;303;;-;;-;;-;;
